graph_name,acc,time
data_563_features_corr_graph_subgraph70.gpickle,0.942883046237534,1.1627978000001349
data_563_features_corr_graph_subgraph71.gpickle,0.9474161378059837,1.1399870000000192
data_563_features_corr_graph_subgraph72.gpickle,0.9537624660018132,1.2909205999999358
data_563_features_corr_graph_subgraph73.gpickle,0.9492293744333635,1.2858272999997098
data_563_features_corr_graph_subgraph74.gpickle,0.9392565729827742,1.236776700000064
data_563_features_corr_graph_subgraph75.gpickle,0.9329102447869447,1.0256101999998464
data_563_features_corr_graph_subgraph76.gpickle,0.8912058023572076,1.569656500000292
data_563_features_corr_graph_subgraph77.gpickle,0.9419764279238441,1.2339688000001843
data_563_features_corr_graph_subgraph78.gpickle,0.9111514052583862,1.176885399999719
data_563_features_corr_graph_subgraph79.gpickle,0.9265639165911151,1.2299631999999292
