graph_name,acc,time,macro-avg-f1-score
data_754_features_corr_graph_subgraph24.gpickle,-0.0264372,-0.026030032,156
data_754_features_corr_graph_subgraph240.gpickle,0.023026908,0.03542479,157
data_754_features_corr_graph_subgraph241.gpickle,0.018769993,0.013828731,158
data_754_features_corr_graph_subgraph242.gpickle,0.024681931,0.04853354,159
data_754_features_corr_graph_subgraph243.gpickle,-0.03160148,-0.0651066,160
data_754_features_corr_graph_subgraph244.gpickle,-0.016512504,-0.03746375,161
data_754_features_corr_graph_subgraph245.gpickle,-0.000546783,0.04401443,162
data_754_features_corr_graph_subgraph246.gpickle,0.02163334,0.036436595,163
data_754_features_corr_graph_subgraph247.gpickle,-0.007979509,-0.038126867,164
data_754_features_corr_graph_subgraph248.gpickle,-0.038290944,-0.11662247,165
data_754_features_corr_graph_subgraph249.gpickle,-0.002060892,0.002791271,166
data_754_features_corr_graph_subgraph25.gpickle,-0.034254953,-0.058600083,167
data_754_features_corr_graph_subgraph250.gpickle,-0.021212034,-0.015991773,168
data_754_features_corr_graph_subgraph251.gpickle,-0.000851591,-0.02164676,169
data_754_features_corr_graph_subgraph252.gpickle,-0.000960611,-0.008992892,170
data_754_features_corr_graph_subgraph253.gpickle,-0.008588339,-0.025952403,171
data_754_features_corr_graph_subgraph254.gpickle,-0.018068673,-0.03042601,172
data_754_features_corr_graph_subgraph255.gpickle,-0.009635985,-0.025557596,173
data_754_features_corr_graph_subgraph256.gpickle,0.001686058,0.003366935,174
data_754_features_corr_graph_subgraph257.gpickle,0.002301815,0.010119852,175
data_754_features_corr_graph_subgraph258.gpickle,0.007535072,0.018374776,176
data_754_features_corr_graph_subgraph259.gpickle,-0.016116986,-0.034088373,177
data_754_features_corr_graph_subgraph26.gpickle,-0.005767886,-0.019970031,178
data_754_features_corr_graph_subgraph260.gpickle,0.003244951,0.003999,179
data_754_features_corr_graph_subgraph261.gpickle,-0.02990289,-0.08019062,180
data_754_features_corr_graph_subgraph262.gpickle,-0.03901305,-0.089155145,181
data_754_features_corr_graph_subgraph263.gpickle,-0.036005378,-0.082606904,182
data_754_features_corr_graph_subgraph264.gpickle,-0.015331943,-0.03051708,183
data_754_features_corr_graph_subgraph265.gpickle,-0.010909726,-0.028102089,184
data_754_features_corr_graph_subgraph266.gpickle,-0.001468257,-0.00679742,185
data_754_features_corr_graph_subgraph267.gpickle,-0.016539708,-0.016252827,186
data_754_features_corr_graph_subgraph268.gpickle,-0.018893939,-0.061665364,187
data_754_features_corr_graph_subgraph269.gpickle,-0.013892061,-0.02054388,188
data_754_features_corr_graph_subgraph27.gpickle,-0.029797653,-0.05602829,189
data_754_features_corr_graph_subgraph270.gpickle,-0.003276894,-0.015071949,190
data_754_features_corr_graph_subgraph271.gpickle,-0.007112658,-0.010935534,191
data_754_features_corr_graph_subgraph272.gpickle,0.010647749,0.033155654,192
data_754_features_corr_graph_subgraph273.gpickle,0.019488871,0.0424021,193
data_754_features_corr_graph_subgraph274.gpickle,0.017545218,0.040187225,194
data_754_features_corr_graph_subgraph275.gpickle,-0.021093415,-0.050242808,195
data_754_features_corr_graph_subgraph276.gpickle,-0.021475842,-0.019747842,196
data_754_features_corr_graph_subgraph277.gpickle,-0.010548393,-0.014021059,197
data_754_features_corr_graph_subgraph278.gpickle,-0.013988403,-0.033083346,198
data_754_features_corr_graph_subgraph279.gpickle,0.001052375,0.002936535,199
data_754_features_corr_graph_subgraph28.gpickle,-0.11799071,-0.22165477,200
data_754_features_corr_graph_subgraph280.gpickle,-0.012625572,-0.038767807,201
data_754_features_corr_graph_subgraph281.gpickle,-0.018453248,-0.056487393,202
data_754_features_corr_graph_subgraph282.gpickle,0.007772555,0.041508798,203
data_754_features_corr_graph_subgraph283.gpickle,-0.02918784,-0.063101895,204
data_754_features_corr_graph_subgraph284.gpickle,-0.004676361,-0.014530919,205
data_754_features_corr_graph_subgraph285.gpickle,-0.020063724,-0.04604107,206
data_754_features_corr_graph_subgraph286.gpickle,-0.014588019,-0.023017803,207
data_754_features_corr_graph_subgraph287.gpickle,0.004101592,0.000849428,208
data_754_features_corr_graph_subgraph288.gpickle,-0.015620727,-0.04398129,209
data_754_features_corr_graph_subgraph289.gpickle,-0.007099791,-0.017020017,210
data_754_features_corr_graph_subgraph29.gpickle,0.000214155,-0.005959641,211
data_754_features_corr_graph_subgraph290.gpickle,-0.000316354,-0.00988421,212
data_754_features_corr_graph_subgraph291.gpickle,-0.000515265,0.01848885,213
data_754_features_corr_graph_subgraph292.gpickle,-0.015322385,-0.049083192,214
data_754_features_corr_graph_subgraph293.gpickle,-0.018826323,-0.03850518,215
data_754_features_corr_graph_subgraph294.gpickle,0.014654016,0.030824916,216
data_754_features_corr_graph_subgraph295.gpickle,0.026244955,0.034625694,217
data_754_features_corr_graph_subgraph296.gpickle,-0.021621458,-0.046338882,218
data_754_features_corr_graph_subgraph297.gpickle,-0.01605605,-0.03562001,219
data_754_features_corr_graph_subgraph298.gpickle,-0.020514721,-0.022018397,220
data_754_features_corr_graph_subgraph299.gpickle,-0.007705084,-0.044635933,221
data_754_features_corr_graph_subgraph3.gpickle,0.008253836,0.03537494,222
data_754_features_corr_graph_subgraph30.gpickle,-0.036896646,-0.07708827,223
data_754_features_corr_graph_subgraph300.gpickle,-0.026557235,-0.08137499,224
data_754_features_corr_graph_subgraph301.gpickle,0.006638365,0.029003795,225
data_754_features_corr_graph_subgraph302.gpickle,-0.01329467,-0.018713344,226
data_754_features_corr_graph_subgraph303.gpickle,0.032738607,0.048361607,227
data_754_features_corr_graph_subgraph304.gpickle,0.013486926,0.007130764,228
data_754_features_corr_graph_subgraph305.gpickle,-0.010742798,-0.026338512,229
data_754_features_corr_graph_subgraph306.gpickle,-0.011643156,-0.029476754,230
data_754_features_corr_graph_subgraph307.gpickle,-0.014566444,-0.04026652,231
data_754_features_corr_graph_subgraph308.gpickle,-0.024127793,-0.05144506,232
data_754_features_corr_graph_subgraph309.gpickle,-0.055579204,-0.04318423,233
data_754_features_corr_graph_subgraph31.gpickle,0.000826535,-0.000251331,234
data_754_features_corr_graph_subgraph310.gpickle,-0.009156923,-0.033361364,235
data_754_features_corr_graph_subgraph311.gpickle,-0.020417405,-0.049211197,236
data_754_features_corr_graph_subgraph312.gpickle,-0.02134164,0.002676491,237
data_754_features_corr_graph_subgraph313.gpickle,-0.025747735,-0.04095747,238
data_754_features_corr_graph_subgraph314.gpickle,-0.009002475,-0.014128809,239
data_754_features_corr_graph_subgraph315.gpickle,0.002511521,-0.014394423,240
data_754_features_corr_graph_subgraph316.gpickle,-0.005220732,-0.013251878,241
data_754_features_corr_graph_subgraph317.gpickle,-0.014989071,-0.040395536,242
data_754_features_corr_graph_subgraph318.gpickle,-0.03680411,-0.060274433,243
data_754_features_corr_graph_subgraph319.gpickle,0.017775154,0.034532595,244
data_754_features_corr_graph_subgraph32.gpickle,-0.08880191,-0.17757438,245
data_754_features_corr_graph_subgraph320.gpickle,-0.08739181,-0.18339205,246
data_754_features_corr_graph_subgraph321.gpickle,-0.010269237,-0.019971004,247
data_754_features_corr_graph_subgraph322.gpickle,-0.021120602,-0.046848737,248
data_754_features_corr_graph_subgraph323.gpickle,-0.015931332,-0.037018865,249
data_754_features_corr_graph_subgraph324.gpickle,0.009100853,0.014870431,250
data_754_features_corr_graph_subgraph325.gpickle,-0.004184675,-0.02238497,251
data_754_features_corr_graph_subgraph326.gpickle,0.001733259,-0.003704183,252
data_754_features_corr_graph_subgraph327.gpickle,0.017049342,-0.004618192,253
data_754_features_corr_graph_subgraph328.gpickle,0.001522973,-0.003702497,254
data_754_features_corr_graph_subgraph329.gpickle,0.027755918,0.038811453,255
data_754_features_corr_graph_subgraph33.gpickle,-0.020136993,-0.042697817,256
data_754_features_corr_graph_subgraph330.gpickle,0.009886702,0.010043376,257
data_754_features_corr_graph_subgraph331.gpickle,-0.027691822,-0.06342935,258
data_754_features_corr_graph_subgraph332.gpickle,-0.007215313,-0.020980963,259
data_754_features_corr_graph_subgraph333.gpickle,-0.011979071,-0.026372278,260
data_754_features_corr_graph_subgraph334.gpickle,-0.008120185,-0.006115373,261
data_754_features_corr_graph_subgraph335.gpickle,-0.025562253,-0.061500933,262
data_754_features_corr_graph_subgraph336.gpickle,-0.014475104,-0.03072832,263
data_754_features_corr_graph_subgraph337.gpickle,-0.03757122,-0.09277424,264
data_754_features_corr_graph_subgraph338.gpickle,-0.007897819,-0.012844184,265
data_754_features_corr_graph_subgraph339.gpickle,-0.018985221,-0.035549495,266
data_754_features_corr_graph_subgraph34.gpickle,-0.018481936,-0.015985187,267
data_754_features_corr_graph_subgraph340.gpickle,-0.003781342,-0.032470144,268
data_754_features_corr_graph_subgraph341.gpickle,-0.010634342,-0.046334,269
data_754_features_corr_graph_subgraph342.gpickle,-4.46E-05,-0.008536352,270
data_754_features_corr_graph_subgraph343.gpickle,0.006967479,0.020361865,271
data_754_features_corr_graph_subgraph344.gpickle,-0.004769683,-0.017877406,272
data_754_features_corr_graph_subgraph345.gpickle,-0.014426243,-0.0337291,273
data_754_features_corr_graph_subgraph346.gpickle,-0.009228734,-0.03956323,274
data_754_features_corr_graph_subgraph347.gpickle,-0.005559464,-0.022866024,275
data_754_features_corr_graph_subgraph348.gpickle,-0.004427863,-0.016176224,276
data_754_features_corr_graph_subgraph349.gpickle,0.000941299,0.011377024,277
data_754_features_corr_graph_subgraph35.gpickle,-0.009909774,-0.017161714,278
data_754_features_corr_graph_subgraph350.gpickle,-0.010747585,-0.028417137,279
data_754_features_corr_graph_subgraph351.gpickle,-0.010033567,0.004425672,280
data_754_features_corr_graph_subgraph352.gpickle,-0.009201225,0.01137086,281
data_754_features_corr_graph_subgraph353.gpickle,0.02754651,0.03226847,282
data_754_features_corr_graph_subgraph354.gpickle,-0.03197774,-0.11035925,283
data_754_features_corr_graph_subgraph355.gpickle,-0.00926753,-0.024476534,284
data_754_features_corr_graph_subgraph356.gpickle,0.009710516,0.009474187,285
data_754_features_corr_graph_subgraph357.gpickle,0.003962721,0.013489217,286
